"id","amis","chinese","sound","image","sound_a","sound_b","sound_c","sound_d","sound_e"
"sentence10","A: Tata’ak kora loma’ haw ? B: Caay, caay ka tata’ak kora loma’.","A: 那間房子很大嗎？ B: 不，那間房子不大。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/xiuguluan/5_10.mp3","","","","","",""
"sentence11","A: Faedet ko romi’ad anini haw ? B: Caay, caay ka faedet anini.","A: 今天熱嗎？ B: 不，今天不熱。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/xiuguluan/5_11.mp3","","","","","",""
"sentence12","A: Minengneng caira to tilifi to romi’ami’ad haw ? B: Caay, caay pinengneng caira to tilifi to romi’ami’ad .","A: 他們天天看電視嗎？ B: 不，他們沒有天天看電視。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/xiuguluan/5_12.mp3","","","","","",""
"sentence13","A: Miasip kiso to codad to romi’ami’ad haw ? B: Caay, caay piasip kako to codad to romi’ami’ad.","A: 你天天讀書嗎？ B: 不，我沒有天天讀書。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/xiuguluan/5_13.mp3","","","","","",""
"sentence14","A: Miasipay kiso to codad haw ? B: Caay, caayay piasip kako to codad .","A: 你在讀書嗎？ B: 不，我沒有在讀書。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/xiuguluan/5_14.mp3","","","","","",""
"sentence15","A: Ma’oraday to ! cilinay kiso haw ? B: Caay, caay ka cilinay kako .","A: 下雨了！你帶著雨傘嗎？ B: 不，我沒帶著雨傘。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/xiuguluan/5_15.mp3","","","","","",""
"sentence16","A: Ma’oraday haw ? B: Caay, caay ka ’orad !","A: 在下雨嗎？ B: 不，沒有在下雨！ C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/xiuguluan/5_16.mp3","","","","","",""
"sentence17","A: Maolah ciira tora codad haw ? B: Caay, caay kaolah ciira tora codad.","A: 她喜歡那本書嗎？ B: 不，她不喜歡那本書。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/xiuguluan/5_17.mp3","","","","","",""
"sentence18","A: Ma’ilol kiso ci amaan haw ? B: Hay, tadama’ilol kako ci amaan.","A: 你很想念祖母嗎？ B: 是，我很想念祖母。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/xiuguluan/5_18.mp3","","","","","",""
"sentence19","A: Tayni kamo i tini a malafi to romi’ami’ad haw ? B: Caay, caay katayni kami a malafi to romi’ami’ad.","A: 你們天天來這裡吃晚餐嗎？ B: 不，我們沒有天天來這裡吃晚餐。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/xiuguluan/5_19.mp3","","","","","",""
"sentence20","A: Maolah kora wawa mirenaf haw ? B: Caay, caay kaolah ciira mirenaf .","A: 那個孩子喜歡畫圖嗎？ B: 不，他不喜歡畫圖。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/xiuguluan/5_20.mp3","","","","","",""
"sentence21","A: Mafana’ kora wawa a romadiw haw ? B: Mafokil, mafokil ciira a romadiw.","A: 那個孩子會唱歌嗎？ B: 不，他不會唱歌。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/xiuguluan/5_21.mp3","","","","","",""
"sentence22","A: O tatayra kamo i picodadan a romadiw haw ? B: Caay, caay katayra kami i picodadan a romadiw.","A: 你們正要去學校唱歌嗎？ B: 不，我們不是要去學校唱歌。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/xiuguluan/5_22.mp3","","","","","",""
"sentence23","A: Manga’ay kako a masadak misalama i herek no lahok haw ? B: Aka a, caay kanga’ay kiso a masadak misalama.","A: 下午我可以出去玩嗎？(請求同意) B: 不，你不可以出去玩！ C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/xiuguluan/5_23.mp3","","","","","",""
"sentence24","A: Matomes to maparo ko mami’ i fakad naira haw ? B: Caay, caay katomes maparo ko mami’ i fakad naira.","A: 他們的簍子裝滿了橘子嗎？ B: 不，他們的簍子沒有裝滿橘子。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/xiuguluan/5_24.mp3","","","","","",""
"sentence25","A: Aka kafoti’ ! B: Caay kafoti’ kako.","A: 別睡覺！ B: 我沒有在睡覺。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/xiuguluan/5_25.mp3","","","","","",""
"sentence26","A: Aka pifohat ! B: Mafana’ to !","A: 別開門！ B: 我知道了！ C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/xiuguluan/5_26.mp3","","","","","",""
"sentence27","A: Aka kapawan minokay a malafi ! B: Mafana’ to !","A: 別忘記回來吃晚飯喔！ B: 我知道了！ C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/xiuguluan/5_27.mp3","","","","","",""
